,Cumhuriyet,Milliyet,Posta,Hurriyet,Sabah,Zaman,Sports,Others,Conservatives
AKP,0.21,0.39,0.64,0.48,0.49,0.83,0.52,0.44,0.8
CHP,0.6,0.33,0.12,0.27,0.22,0.04,0.17,0.15,0.02
DYP,0,0,0.05,0.07,0.03,0,0.04,0.01,0.03
MHP,0.12,0.22,0.14,0.11,0.2,0.09,0.17,0.19,0.1
GP,0.02,0.06,0.03,0.03,0.04,0,0,0.05,0
SP,0,0,0,0.03,0,0.03,0,0.04,0.05
Independents,0.05,0,0.01,0.02,0.01,0.01,0.09,0.11,0
